name,gender,age,standard,caste,dropoutStatus,dropoutReason,dropoutPrediction,dropoutFeedback
Killian Garlicke,Male,113,9,SC,false,Lack of resources (books,5,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus
Delmar Ebbens,Male,34,7,General,true,stationery,5,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
Gayleen Crocket,Female,34,11,SC,false,depression,0,massa id lobortis convallis tortor risus dapibus augue vel accumsan
Laurence Washtell,Bigender,35,8,ST,true,parental divorce,1,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
Skelly Sorensen,Male,54,2,General,false,stationery,6,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
Arnoldo Bertomier,Male,59,9,ST,false,etc.) Financial constraints Family issues (e.g.,3,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
Melamie McSaul,Female,36,5,ST,false,stationery,2,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
Gerard Sheerman,Male,91,11,ST,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,1,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat
Agnesse Lafoy,Female,27,6,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,5,sit amet cursus id turpis integer aliquet massa id lobortis convallis
Alister Jacobs,Male,44,9,ST,true,depression,10,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
Tedi Bonehill,Female,18,6,SC,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,10,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam
Louie Orgill,Male,102,8,OBC,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,5,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id
Faulkner Poulsen,Male,86,4,ST,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,4,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est
Cyrillus Ajean,Male,105,1,SC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,1,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
Humberto Filipov,Male,27,8,SC,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,4,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
Helaina Karolowski,Female,39,0,General,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,2,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
Sisely Maddrell,Female,97,10,SC,true,Lack of resources (books,0,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis
Kippy Aberkirder,Female,49,6,OBC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,1,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
Cassaundra Hawgood,Female,103,1,ST,true,depression,1,amet diam in magna bibendum imperdiet nullam orci pede venenatis non
Aland Skeat,Male,22,4,OBC,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,4,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes
Donny Life,Male,73,6,ST,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,0,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
Pamela Sones,Female,119,3,General,true,race,1,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus
Koressa Vaar,Female,22,4,General,false,poor facilities,4,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper
Lewiss Jedrzejewsky,Male,17,8,OBC,true,stationery,5,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
Kingsley Wynter,Male,57,7,ST,true,poor facilities,7,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
Rodrick Isley,Male,49,10,OBC,true,race,4,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
Thaddus Backhouse,Male,1,10,SC,true,depression,10,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
Godwin Hawton,Male,90,5,ST,false,depression,0,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis
Gannie Wahlberg,Male,58,7,General,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,3,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim
Elwin Maine,Male,44,8,OBC,true,stationery,3,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
Marley Carden,Polygender,89,6,General,true,parental divorce,6,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
Norrie Pinches,Male,68,9,OBC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,5,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
Dominique Edensor,Female,9,8,ST,true,parental divorce,9,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in
Bethina Renforth,Polygender,15,0,General,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,6,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
Gerard Moule,Male,101,11,General,false,depression,5,in leo maecenas pulvinar lobortis est phasellus sit amet erat
Frasco Folli,Male,114,10,OBC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,0,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
Berry Mizzi,Female,48,10,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,7,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
Jamill Venneur,Male,22,9,General,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,5,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Wayland Brownsworth,Male,16,7,SC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,3,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est
Adolf Ollivierre,Male,30,3,SC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,6,in felis donec semper sapien a libero nam dui proin leo
Paco Ferier,Male,119,3,General,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,7,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque
Caresse Matuska,Female,96,7,OBC,false,parental divorce,8,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat
Thornton Kirsopp,Male,61,10,OBC,false,poor facilities,8,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit
Myron Sylett,Male,75,7,OBC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,0,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas
Olympia Palfreman,Female,51,10,General,false,poor teaching quality,5,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin
Patti Spurryer,Female,9,1,General,false,poor facilities,4,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
Ikey Graeser,Male,84,3,OBC,false,race,5,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
Milt Christopher,Male,21,10,General,true,stationery,9,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque
Zorana Rozanski,Female,63,12,SC,true,poor facilities,8,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Corabel McCleod,Female,45,1,ST,true,parental divorce,4,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
Colby Latey,Male,87,10,ST,false,race,3,consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
Morna Ackerley,Female,86,4,ST,false,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,8,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
Carmela Messier,Female,36,11,ST,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,8,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam
Waneta Gurge,Female,77,1,SC,false,stationery,7,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
Paulie Bullan,Male,23,2,ST,false,etc.) Financial constraints Family issues (e.g.,9,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum
Orin Ioselev,Male,15,10,ST,false,parental divorce,9,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
Conrade Slorance,Male,11,2,General,true,poor facilities,5,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo
Traver Piell,Male,99,11,General,true,Lack of resources (books,10,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
Gay Duplock,Male,106,7,General,false,poor facilities,10,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus
Gale Haselup,Genderfluid,8,10,OBC,true,poor facilities,9,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam
Ariadne Megany,Female,48,0,ST,false,stationery,7,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
Agnola Boow,Female,76,5,SC,true,parental divorce,10,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in
Sigismond Tongs,Male,9,5,OBC,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,9,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium
Kim Fishlock,Female,1,4,General,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,5,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis
Gonzales Pink,Male,31,3,SC,true,parental divorce,9,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
Son Ketchell,Male,15,8,OBC,true,Lack of resources (books,7,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in
Isaak Cawood,Male,56,10,SC,true,poor facilities,3,felis sed interdum venenatis turpis enim blandit mi in porttitor
Magdaia Gonoude,Non-binary,97,4,General,false,race,9,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis
Valida Pettis,Female,108,10,General,false,depression,4,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
Renelle Durrand,Female,5,4,General,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,3,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
Leonanie Duiguid,Female,56,11,SC,true,poor teaching quality,10,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris
Georgia Paffitt,Female,104,2,SC,true,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,4,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
Emmet MacDuffie,Male,10,7,SC,true,Lack of resources (books,7,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Emmit Ellery,Male,25,7,General,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,0,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
Garret Frosdick,Male,13,0,OBC,false,poor facilities,4,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
Miguelita Skitch,Female,63,10,SC,false,stationery,10,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
Merell Lusk,Male,60,2,General,false,poor teaching quality,8,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
Flo Davison,Female,65,6,General,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,4,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat
Clair de Bullion,Male,65,6,General,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,7,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
Rikki Howey,Female,40,10,General,true,stationery,8,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa
Staci Esland,Polygender,113,6,OBC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,6,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
Jeromy Jentin,Male,51,10,ST,false,depression,0,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
Addy Lavrick,Male,24,9,OBC,true,parental divorce,10,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus
Cleveland Calderon,Male,79,1,ST,true,race,5,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
Gabby Blackhurst,Male,92,11,OBC,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,5,aenean lectus pellentesque eget nunc donec quis orci eget orci
Christoph Reiling,Male,73,11,SC,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,1,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
Geoffry Cossar,Male,114,9,SC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,5,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Artur Augustus,Male,81,7,General,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,3,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
Cozmo Notley,Male,46,7,General,true,Lack of resources (books,2,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
Coral Duddan,Female,10,6,OBC,true,parental divorce,7,eu massa donec dapibus duis at velit eu est congue
Derick Hounihan,Male,48,1,General,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,4,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor
Britni McCahill,Female,53,0,General,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,8,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non
Padraig Turmall,Male,41,5,General,false,parental divorce,3,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi
Giff Davidsen,Male,103,12,General,true,poor facilities,3,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
Prissie Burth,Female,78,11,General,true,Lack of resources (books,8,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
Shana Temprell,Female,66,10,SC,true,depression,2,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac
Oren Fardon,Male,8,5,OBC,true,poor teaching quality,10,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a
Idette Rawsthorn,Genderqueer,26,7,SC,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,7,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non
Courtnay Lockier,Female,81,9,ST,false,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,3,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean
Paddy Woodhams,Male,62,1,SC,false,race,2,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
Hobie Heisman,Male,17,1,General,false,depression,9,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut
Lea Carine,Female,71,0,SC,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,7,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat
Zane Flowitt,Male,106,8,ST,true,etc.) Financial constraints Family issues (e.g.,10,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam
Hayward Eborall,Male,64,7,ST,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,9,nulla sed accumsan felis ut at dolor quis odio consequat varius
Marylinda Stillwell,Genderqueer,14,4,General,false,race,1,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
Fabio Woolmer,Male,109,8,ST,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,9,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio
Ula Graveston,Female,105,5,ST,true,etc.) Financial constraints Family issues (e.g.,3,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse
Laurena Cawker,Female,108,11,ST,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,5,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
Chan Dragon,Male,24,1,ST,true,poor facilities,10,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis
Marty Bucklee,Female,27,1,SC,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,3,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
Armand Branca,Male,8,9,SC,false,depression,8,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat
Early Howden,Genderfluid,95,2,General,false,etc.) Financial constraints Family issues (e.g.,3,libero nam dui proin leo odio porttitor id consequat in consequat
Leopold Hogbin,Male,26,4,ST,true,parental divorce,10,maecenas tristique est et tempus semper est quam pharetra magna
Kyrstin Caulier,Female,99,4,ST,true,stationery,10,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet
