Name,Gender,DateOfBirth,Age,Standard,Caste,DropoutStatus,DropoutReason,DropoutPrediction,SchoolJoiningDate,StreamAfter10th,DateLeftSchool
Cindelyn Perrott,Female,1990-09-06,27,5,Other,true,Family,false,2024-04-18,Science,2023-06-26
Aymer Pady,Male,1988-03-31,65,10,SC,false,Health,true,2023-07-25,Science,2023-06-08
Joane Aslett,Female,1994-03-31,30,4,Other,true,Health,true,2023-08-31,Commerce,2024-03-15
Yance Doxsey,Male,1996-05-18,26,11,Other,false,Other,true,2024-04-28,Other,2023-08-18
Gizela Perin,Female,1988-12-11,55,5,ST,true,Financial,true,2023-06-15,Science,2023-11-03
Germaine Shorter,Male,1987-08-06,20,10,SC,false,Health,true,2023-07-02,Science,2023-06-09
Orion Batterton,Male,2004-10-19,59,11,Other,false,Other,true,2024-02-04,Other,2024-04-11
Silvia Arkley,Female,2013-10-31,61,11,SC,true,Family,true,2023-06-01,Arts,2023-12-16
Brook Cullivan,Female,1986-08-04,26,10,SC,false,Other,true,2023-09-21,Arts,2023-11-23
Kylila Yegorovnin,Female,2017-01-04,42,11,General,false,Other,false,2023-09-15,Other,2023-12-18
Yettie Polle,Female,1984-04-12,25,0,General,true,Health,true,2023-05-01,Arts,2023-07-18
Krystyna Hintzer,Female,1984-10-16,44,10,General,true,Health,true,2023-09-20,Commerce,2023-06-19
Kinny Lygoe,Genderqueer,2016-02-10,48,2,ST,true,Health,true,2024-02-23,Arts,2024-01-20
Cord Longcake,Male,1991-03-13,52,4,OBC,true,Health,false,2024-01-04,Arts,2023-08-14
Tabbitha Worham,Non-binary,1981-02-16,69,2,General,true,Financial,false,2023-05-11,Science,2024-03-25
Haleigh Chicchelli,Male,2019-03-17,61,11,Other,false,Financial,true,2023-12-03,Other,2023-05-11
Jeni Kliesl,Female,1984-09-01,54,2,SC,true,Other,false,2023-08-23,Other,2023-08-04
Tanhya Pickston,Female,1997-05-04,18,8,Other,true,Financial,false,2023-10-10,Science,2023-05-16
Dagny Nursey,Male,2001-04-30,10,12,General,true,Family,false,2023-07-28,Science,2023-11-14
Kari Mum,Female,2013-02-27,65,9,SC,false,Financial,false,2023-09-28,Arts,2023-09-21
Bernelle Borges,Female,2006-06-05,30,0,General,false,Financial,false,2023-09-09,Commerce,2024-02-14
Bertrand Curnok,Male,2019-04-23,48,5,SC,false,Financial,false,2023-11-22,Arts,2024-04-19
Bjorn McKibbin,Male,1994-01-02,60,3,ST,false,Health,false,2024-02-04,Arts,2024-03-18
Mabel Doddemeade,Female,1988-07-03,37,1,ST,false,Financial,true,2023-09-29,Other,2024-04-17
Jillene Beddow,Female,2016-08-29,34,3,General,true,Other,false,2023-12-05,Other,2023-07-10
Lettie Conochie,Female,2007-05-26,69,3,Other,false,Family,false,2023-11-21,Science,2023-09-25
Molly Patifield,Female,1995-07-24,20,3,SC,true,Family,true,2023-07-19,Commerce,2024-02-02
Ola Venus,Female,2017-07-07,31,6,SC,true,Other,true,2023-09-24,Arts,2023-07-11
Adrea Redit,Female,2018-11-05,19,4,ST,false,Other,true,2023-07-14,Other,2023-11-23
Ewan Harlowe,Male,2007-02-12,17,9,ST,false,Family,true,2023-11-29,Arts,2024-01-01
Abagail Kalberer,Female,2013-11-09,55,2,SC,true,Financial,false,2023-09-05,Commerce,2023-11-12
Lorens Vinas,Male,2003-10-26,64,9,ST,false,Other,true,2023-09-22,Arts,2023-08-18
Glen Maltster,Male,2005-02-17,16,4,ST,true,Health,true,2023-06-21,Science,2024-01-04
Kerrill Nowell,Female,1984-03-04,48,2,SC,true,Health,false,2024-02-02,Commerce,2023-05-24
Sianna Queyeiro,Female,2004-04-24,25,6,General,false,Other,true,2023-11-20,Science,2023-08-27
Linnea Kingcott,Female,1995-08-02,55,2,ST,true,Health,true,2023-09-24,Commerce,2023-09-10
Matthieu Halfhyde,Agender,2014-07-21,29,10,SC,false,Family,true,2024-02-06,Arts,2023-06-19
Conant OIlier,Male,1996-08-24,38,12,SC,true,Financial,true,2023-10-25,Arts,2023-05-22
Butch Oliveto,Male,2011-10-08,24,9,SC,false,Financial,true,2024-04-22,Other,2024-04-23
Piper Sarfat,Female,1992-09-24,42,9,OBC,true,Health,false,2023-08-24,Science,2023-08-22
Laurel Johannesson,Female,1996-05-22,13,4,OBC,false,Financial,true,2023-05-24,Other,2023-09-01
Henrie Mehew,Female,1997-07-01,55,0,General,true,Other,false,2023-10-05,Science,2023-08-21
Sadye Dahle,Female,1985-01-20,60,6,ST,false,Financial,true,2023-05-16,Arts,2023-11-15
Deonne Sidaway,Female,1996-06-06,27,10,General,false,Other,true,2024-01-19,Arts,2023-07-09
Rhys Hirtzmann,Male,2003-08-26,27,5,SC,true,Other,false,2023-07-01,Other,2023-10-06
Terencio McPhaden,Male,2018-08-14,54,7,General,true,Health,true,2024-01-01,Other,2023-09-08
Stormie Sleep,Agender,1985-09-19,63,7,General,false,Health,false,2024-04-16,Commerce,2023-05-20
Belvia O'Dea,Female,2007-02-22,10,11,ST,false,Health,true,2024-02-10,Commerce,2023-07-19
Floyd Pattesall,Male,2015-05-11,63,4,ST,false,Family,true,2023-05-26,Science,2023-11-24
Matthus Ansill,Male,1996-12-17,70,9,OBC,true,Other,false,2023-05-26,Other,2023-08-04
Bil Kelston,Male,1999-12-14,13,8,General,false,Health,true,2024-02-06,Commerce,2023-10-01
Maggie Archbald,Female,2001-01-22,31,9,SC,false,Other,false,2023-10-25,Commerce,2024-04-01
Cassey Puddicombe,Female,2010-03-01,58,5,SC,true,Family,false,2024-03-04,Science,2023-06-08
Will Kendal,Male,2003-08-19,43,3,ST,false,Other,false,2023-07-11,Science,2023-11-21
Drud Juden,Male,1981-12-18,38,4,General,true,Other,true,2024-01-31,Other,2023-07-26
Alicia Alexandre,Female,1993-04-29,52,10,SC,false,Financial,false,2023-10-28,Science,2023-05-27
Pinchas Abramowitch,Male,2017-04-29,21,6,OBC,false,Other,true,2024-03-04,Commerce,2023-05-19
Guthry Butson,Male,2003-12-25,52,6,SC,false,Other,false,2023-09-08,Science,2023-05-21
Matias Bresland,Male,2009-07-07,37,2,OBC,false,Family,true,2023-11-12,Science,2023-08-05
Thaine Linkin,Genderqueer,1988-03-12,60,11,General,true,Family,true,2024-03-30,Science,2023-05-06
Sisile Adey,Female,2002-12-27,68,9,OBC,true,Health,false,2023-10-12,Commerce,2023-07-16
Kimmie Lilbourne,Female,1989-10-06,68,9,SC,true,Financial,false,2024-01-18,Arts,2024-02-20
Prentice Riches,Male,1986-12-05,57,8,SC,true,Financial,false,2024-02-20,Other,2024-04-16
Adelaida Briscow,Genderqueer,2016-10-21,21,0,OBC,true,Health,false,2024-02-09,Other,2024-03-09
Arlyn Dike,Female,1991-12-01,41,1,OBC,false,Other,true,2024-02-27,Arts,2023-07-07
Hildy Wabersich,Female,1996-07-05,42,11,SC,false,Other,false,2024-01-19,Other,2024-03-14
Smitty Willshere,Male,2016-01-01,69,8,SC,false,Other,true,2023-08-11,Commerce,2023-06-06
Katerina Lemme,Female,1987-09-17,12,2,SC,true,Health,false,2024-01-10,Science,2023-05-29
Emilio Vasyukhin,Male,2003-12-08,43,3,Other,true,Health,false,2024-03-14,Arts,2023-09-14
Katina Ourtic,Female,2013-04-01,25,3,General,true,Financial,true,2023-10-25,Other,2024-01-16
Sari Ranvoise,Female,1984-06-25,14,12,ST,true,Other,true,2023-06-01,Commerce,2024-04-11
Kipper Hawley,Male,1989-01-24,37,0,General,true,Health,true,2023-09-08,Science,2024-04-01
Tory Silley,Female,2015-05-16,63,0,ST,true,Financial,false,2023-05-11,Commerce,2023-10-08
Marlowe Cabrer,Male,2001-03-23,60,6,Other,false,Other,false,2024-04-18,Arts,2024-03-24
Demetris Fallowes,Male,1996-07-07,61,1,SC,false,Family,true,2024-03-30,Commerce,2024-02-19
Tucker Berrisford,Male,2001-03-11,22,12,General,true,Health,true,2024-01-01,Commerce,2023-06-04
Ludwig MacGorley,Agender,1998-10-01,41,8,General,false,Other,false,2023-09-17,Arts,2024-03-06
Lannie Cavill,Male,2014-09-22,42,11,ST,false,Family,true,2023-11-01,Commerce,2023-08-13
Berti Gemeau,Male,2000-01-10,28,5,General,false,Financial,false,2023-07-31,Commerce,2023-10-07
Teresita Drage,Female,2016-06-20,24,3,General,false,Other,false,2024-02-13,Science,2024-04-26
Ryley Pridding,Bigender,1990-01-15,70,9,OBC,true,Financial,true,2023-12-31,Science,2024-02-22
Doll Tearle,Female,2018-08-29,17,12,ST,false,Family,false,2023-10-18,Commerce,2023-11-16
Frannie Jeffcoat,Male,1996-10-17,68,6,Other,true,Health,false,2023-12-28,Commerce,2023-10-26
Brear Couve,Female,1987-01-12,12,0,SC,true,Health,false,2024-03-10,Commerce,2023-11-20
Hazel Iltchev,Male,2010-12-23,65,4,Other,false,Other,true,2023-05-21,Commerce,2023-06-08
Franciska Meynell,Genderqueer,2007-02-09,69,8,Other,true,Health,true,2023-08-04,Other,2023-10-11
Max Bernardini,Male,2003-02-22,20,9,Other,false,Health,false,2023-07-23,Commerce,2023-08-29
Harmon Hambling,Male,1991-09-26,32,2,OBC,false,Other,true,2023-05-03,Science,2023-12-04
Cindie Nunn,Female,2005-09-28,32,9,General,true,Family,true,2023-10-06,Arts,2023-08-09
Natalina Goddman,Female,1992-10-20,13,6,General,true,Financial,false,2023-08-25,Commerce,2023-09-11
Bartie Capron,Male,1981-07-13,65,10,General,true,Financial,false,2023-11-30,Arts,2023-07-14
Connor Shouler,Male,2018-06-22,46,7,OBC,false,Health,true,2024-01-28,Arts,2024-03-09
Melania Schutter,Female,2013-07-04,58,4,SC,true,Family,false,2023-05-06,Commerce,2023-08-19
Dana Mance,Female,2018-04-24,58,3,OBC,false,Health,false,2024-03-18,Commerce,2024-03-20
Alfie Erley,Female,1987-06-29,34,4,ST,false,Health,false,2023-12-19,Science,2024-04-11
Elise Sheehy,Female,2017-01-13,51,3,OBC,false,Financial,true,2023-11-20,Arts,2023-12-01
Yolane Melland,Female,2013-05-11,29,12,OBC,false,Financial,true,2023-06-14,Science,2023-07-31
Kimberlee Loftin,Female,2000-06-05,16,2,ST,true,Financial,true,2023-11-20,Science,2024-04-21
Xymenes Henstone,Male,2018-05-15,40,1,OBC,false,Health,false,2023-06-23,Commerce,2023-12-15
Myles McWilliams,Male,2002-03-09,39,7,ST,true,Family,true,2023-07-01,Other,2023-09-18
Tiffany Pohls,Female,1982-09-04,28,7,ST,false,Family,false,2024-02-04,Commerce,2023-10-21
Pru Leyninye,Female,1995-08-10,13,5,Other,false,Health,true,2024-04-17,Arts,2024-03-08
Zacharia Fould,Male,1986-12-18,44,12,OBC,true,Other,true,2023-08-31,Science,2023-06-29
Zaccaria Hugues,Male,1990-07-25,32,2,SC,false,Financial,false,2023-08-01,Arts,2023-12-13
Kylila Lente,Female,2003-10-30,28,5,Other,true,Other,true,2023-11-14,Science,2023-06-25
Sancho Osgar,Male,1993-01-29,20,1,General,true,Financial,true,2023-09-18,Arts,2023-10-31
Denice Pelzer,Female,2015-08-01,21,3,SC,true,Family,false,2024-02-02,Science,2023-11-23
Nike Agiolfinger,Female,1999-11-01,14,2,ST,false,Financial,false,2023-11-12,Science,2024-01-09
Welbie Charnock,Male,1984-02-22,35,10,ST,false,Health,false,2023-09-15,Other,2023-09-18
Simeon Sandercock,Male,2003-04-02,44,4,OBC,false,Financial,false,2024-03-02,Other,2023-05-26
Reggie Carlone,Female,1996-12-06,55,2,General,true,Other,true,2024-04-10,Commerce,2024-04-27
Goldina Lembke,Female,1988-10-22,51,8,OBC,true,Financial,true,2023-12-27,Science,2024-01-06
Eydie Gardner,Female,2019-11-29,63,7,Other,false,Family,true,2023-05-22,Arts,2024-01-20
Idell Cultcheth,Female,2015-09-11,34,7,General,false,Financial,true,2023-12-04,Arts,2023-08-09
Revkah Barnewille,Female,1986-10-21,26,10,ST,false,Health,false,2024-04-23,Science,2023-12-23
Rooney Tofanini,Male,2020-02-23,22,12,General,true,Other,true,2024-03-18,Science,2024-04-08
Fonsie Blessed,Male,1980-12-21,33,12,ST,false,Family,true,2024-03-24,Science,2024-02-16
Sondra Blissett,Female,1997-04-06,44,5,ST,false,Family,false,2024-04-06,Arts,2023-05-13
Blanch Bernhard,Female,1992-12-03,27,3,SC,false,Other,false,2023-12-16,Arts,2024-03-09
Ezmeralda Deener,Genderqueer,1997-06-03,56,11,General,false,Other,false,2024-02-15,Science,2023-06-19
Jami Andreou,Female,2015-05-19,54,0,OBC,false,Health,false,2024-03-08,Commerce,2023-12-26
Fania Paschke,Female,1991-02-17,62,12,ST,true,Other,true,2024-01-21,Arts,2023-12-21
Dominique Scottesmoor,Female,1999-11-22,63,7,ST,false,Family,false,2023-10-28,Other,2023-09-21
Sarena Clendinning,Female,1997-01-10,51,7,Other,true,Financial,true,2024-01-08,Science,2023-07-21
Murvyn Purdon,Male,2003-05-14,66,7,OBC,false,Family,false,2024-03-06,Commerce,2024-03-11
Dukey Faircley,Male,2012-12-11,47,8,SC,false,Family,true,2023-11-11,Other,2024-01-16
Tiebout Stanyer,Male,1980-06-18,55,11,SC,false,Health,true,2023-08-17,Arts,2024-04-08
Guenna Lidstone,Female,2002-07-21,67,8,Other,true,Financial,false,2023-11-24,Commerce,2023-10-13
Cary Kynton,Female,2015-09-19,20,0,General,true,Family,false,2023-11-07,Science,2023-05-26
Nanci Nigh,Female,1983-06-16,35,9,SC,true,Financial,true,2023-08-15,Commerce,2024-02-18
Carmela Derrington,Female,1998-11-05,27,1,Other,false,Health,false,2023-05-25,Science,2023-12-04
Elmore Stainsby,Male,1995-02-28,64,12,Other,false,Health,false,2023-10-19,Science,2023-08-05
Moss Lacroux,Male,1981-11-21,10,3,General,false,Financial,false,2023-11-10,Science,2024-03-07
Tades Reveley,Male,2007-06-16,19,11,Other,true,Family,false,2023-05-31,Science,2023-06-19
Torrance Crook,Male,1997-05-09,37,10,OBC,true,Health,false,2023-10-05,Other,2023-09-10
Osmond Hubbard,Male,2012-06-25,67,1,Other,false,Family,false,2023-08-03,Commerce,2024-01-17
Christoph Sebert,Male,1985-06-20,51,6,General,true,Other,false,2024-03-10,Commerce,2023-07-21
Geraldine Wasteney,Female,2009-03-26,31,9,OBC,true,Other,false,2024-02-01,Commerce,2024-04-08
Torrance Burroughes,Male,2002-10-20,50,10,ST,false,Family,true,2023-07-18,Commerce,2023-12-05
Katerina Physick,Female,1987-11-12,68,9,OBC,true,Financial,false,2023-06-12,Commerce,2023-10-20
Carey Jouannisson,Genderqueer,1999-01-20,52,8,Other,true,Other,true,2023-07-07,Other,2023-12-23
Abner Gwilliam,Male,2009-01-29,15,11,SC,true,Family,true,2023-07-03,Science,2023-10-30
Flemming Conen,Male,1999-10-24,62,9,General,true,Health,true,2023-10-17,Other,2023-10-24
Jodi Hasell,Agender,1980-07-28,68,1,General,true,Other,false,2023-11-04,Science,2023-08-27
Patty Emlen,Female,1985-02-02,69,7,OBC,false,Health,false,2023-10-30,Commerce,2024-01-12
Rafaellle Hymans,Male,2016-06-27,60,5,ST,true,Family,false,2024-02-20,Science,2023-06-25
Janel Tousy,Female,2016-10-03,10,8,General,true,Financial,true,2023-07-31,Other,2023-09-13
Leodora Marco,Female,2012-06-23,63,10,General,true,Health,false,2023-09-26,Commerce,2023-12-02
Ellyn Sydenham,Female,2000-01-21,10,7,ST,true,Family,false,2024-03-28,Commerce,2023-12-20
Salvador Swynfen,Male,2007-11-09,24,2,ST,true,Other,true,2023-07-17,Arts,2024-02-15
Clovis Ceeley,Agender,2010-09-14,16,11,ST,false,Other,true,2024-04-08,Arts,2023-11-25
Gertie Folks,Female,1990-11-06,65,7,SC,true,Financial,true,2023-08-24,Science,2023-08-31
Julianne Freake,Female,2003-10-11,70,1,General,false,Financial,false,2024-03-20,Other,2024-02-25
Jeddy Tirrey,Male,2003-10-20,54,2,ST,false,Health,true,2023-07-23,Commerce,2023-08-03
Marcile Makeswell,Female,1984-06-02,62,2,Other,true,Other,true,2023-07-05,Arts,2024-04-19
Penelopa Spinella,Female,1993-12-15,70,5,General,true,Other,true,2023-11-19,Commerce,2023-11-02
Clayton Petrina,Male,2013-01-16,28,7,SC,false,Family,true,2023-06-25,Arts,2024-01-04
Rosina Harradine,Female,1998-05-21,44,3,General,false,Other,true,2023-09-06,Science,2024-01-20
Reagan Guerrazzi,Male,2017-07-09,58,11,SC,true,Financial,true,2023-05-12,Commerce,2023-09-16
Vanda Ciementini,Female,2006-06-11,43,2,SC,false,Family,false,2023-05-24,Arts,2023-09-11
Bing Keitch,Male,2011-05-17,21,10,Other,false,Health,false,2024-03-30,Other,2023-08-03
Zane Rennolds,Male,1987-11-15,13,6,SC,false,Family,true,2023-07-24,Other,2024-02-25
Waneta Geaney,Female,2005-05-14,29,2,OBC,true,Family,true,2024-01-22,Arts,2023-07-07
Emelina Monteath,Female,2013-11-24,65,0,Other,true,Family,false,2023-05-18,Commerce,2023-05-21
Truda McPeice,Female,1987-06-27,44,1,OBC,false,Family,false,2023-05-01,Commerce,2024-02-25
August Radbone,Male,2006-04-23,33,7,ST,false,Health,false,2023-07-13,Other,2024-03-02
Ardenia Gailor,Female,2003-10-01,28,11,OBC,true,Family,false,2023-07-13,Arts,2023-12-21
Darrell Lovelock,Male,2006-12-18,19,8,General,false,Other,true,2023-10-05,Other,2024-01-03
Baxter Wanell,Male,1999-02-16,61,0,General,true,Health,true,2023-11-29,Other,2023-10-11
Kincaid Kun,Male,1986-09-02,46,6,SC,true,Other,true,2023-09-13,Commerce,2023-09-19
Theadora Slocumb,Female,2015-11-01,40,4,Other,true,Other,false,2024-03-25,Arts,2023-10-31
Tilda Houliston,Female,2017-09-14,21,2,OBC,true,Health,true,2023-11-19,Commerce,2024-01-25
Kissee McIlvaney,Female,2008-12-08,41,5,General,true,Family,false,2023-06-17,Other,2023-08-16
Arluene Zollner,Genderfluid,1999-03-24,30,12,General,true,Other,false,2023-08-06,Commerce,2024-04-08
Marcos Holt,Male,2003-02-28,30,8,SC,true,Financial,true,2024-02-21,Arts,2023-09-18
Erna Ellicott,Female,1988-09-17,20,4,ST,true,Other,false,2023-05-07,Other,2024-04-25
Marianna O'Noland,Polygender,2013-03-11,19,10,Other,false,Family,true,2024-01-20,Other,2024-01-10
Hildagard Janowicz,Female,2019-09-04,31,10,OBC,true,Financial,true,2023-07-22,Commerce,2023-07-12
Rodger Corp,Male,1992-03-07,16,12,ST,true,Financial,false,2024-04-18,Arts,2024-02-13
Andrus Cutbush,Male,1985-11-11,32,6,General,true,Financial,true,2023-12-13,Arts,2023-08-07
Dar Blackett,Male,2014-06-04,45,5,ST,false,Health,true,2023-08-12,Science,2023-05-09
Rebe Greated,Female,2018-11-08,30,9,Other,false,Financial,true,2023-06-23,Other,2024-04-03
Ly McCoughan,Male,2002-03-04,66,2,SC,true,Family,false,2023-10-07,Commerce,2023-05-31
Quent Thrush,Male,2008-08-26,59,10,ST,true,Financial,true,2024-02-04,Arts,2023-06-03
Geoffrey Brounfield,Male,1983-08-20,55,10,ST,true,Family,false,2023-12-11,Arts,2023-09-16
Cecily Sinson,Female,1985-07-03,15,2,ST,true,Other,true,2023-08-19,Commerce,2023-07-04
Christiano Palatini,Male,1992-07-28,69,6,Other,false,Health,false,2024-02-12,Other,2023-06-19
Viola Pimblotte,Female,1998-05-21,70,10,Other,false,Other,false,2023-07-27,Commerce,2024-02-13
Emanuele Flaonier,Male,1984-09-29,27,1,General,false,Health,false,2023-05-04,Science,2023-12-06
Bastien Mateus,Male,1986-05-07,19,7,General,false,Family,false,2024-03-27,Commerce,2023-06-20
Mariya Leavens,Female,2002-07-29,61,6,General,false,Financial,true,2024-01-18,Arts,2023-08-20
Sallyanne Ewbanche,Bigender,2008-07-14,68,4,Other,false,Family,true,2024-03-30,Arts,2024-02-23
Sampson McAnulty,Male,2003-11-04,50,11,SC,false,Health,true,2023-10-09,Science,2024-04-26
Nataline Cartmael,Female,2012-10-03,19,6,OBC,true,Health,false,2023-06-01,Arts,2023-07-01
Cad Cottrill,Male,1999-06-15,43,7,ST,false,Health,true,2023-06-03,Arts,2024-04-02
Lon Lardiner,Male,2015-04-09,18,6,Other,true,Health,false,2023-10-07,Other,2024-04-20
Gene Platfoot,Female,1999-10-05,58,12,OBC,false,Other,true,2023-07-17,Science,2024-02-17
Missie Kolak,Female,1981-12-21,61,5,ST,true,Other,false,2023-08-12,Other,2024-01-20
Hermie Gellately,Male,2009-08-11,20,5,SC,false,Other,false,2023-11-09,Commerce,2023-10-09
Ethelbert Charke,Male,1990-03-19,65,11,ST,false,Health,true,2023-05-08,Arts,2024-03-27
