Name,Gender,DateOfBirth,Age,Standard,Caste,DropoutStatus,DropoutReason,DropoutPrediction,SchoolJoiningDate,StreamAfter10th,DateLeftSchool
Gardner Fittes,Male,2/8/1922,76,2,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,2/2/2011,Commerce,4/3/1998
Bee Hopkyns,Female,3/5/1964,59,11,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,4/14/1992,Arts,7/9/2008
Tierney Bowlands,Female,6/16/1930,28,12,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,7/14/1996,Commerce,1/21/2007
Jere Skingle,Male,1/2/1953,54,1,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,5/18/2002,Science,8/3/2019
Bryn Ransom,Female,2/10/1909,111,8,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/25/2008,Arts,9/12/2018
Luz Peck,Female,2/13/1953,67,9,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/13/2019,Other,7/23/2012
Andee Gilmour,Female,1/6/2012,72,4,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/20/1999,Arts,2/6/2018
Brittney Solano,Female,1/17/1967,33,12,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,3/28/1996,Commerce,12/13/1995
Delmar Sephton,Male,4/27/1991,61,0,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,11/28/1991,Science,5/10/2021
Madeline Creggan,Female,9/12/1907,86,5,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,9/15/2021,Other,8/4/2008
Cecily Emmanueli,Female,6/5/2020,43,12,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,4/27/2005,Commerce,7/30/2003
Eugen Campbell,Genderqueer,6/1/2017,109,10,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,5/23/1999,Science,7/21/2022
Rhys Ciotto,Male,10/3/2009,84,9,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/16/1998,Science,12/27/2023
Waldo Glasper,Agender,5/26/1993,82,7,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/1/1991,Science,6/17/2005
Chaunce Beadel,Male,1/6/1902,51,12,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/1/2009,Commerce,1/12/1997
Nona Knowlman,Female,6/5/1978,30,3,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/9/2017,Science,5/9/2003
Abby Shearstone,Male,11/22/1940,81,11,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/2/2004,Arts,12/25/2000
Cece Blissett,Male,8/13/1959,116,0,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,1/20/1991,Science,7/10/1997
Menard Westwater,Male,8/7/1962,20,1,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,1/26/2015,Science,2/16/2022
Rance Welch,Male,8/24/1969,2,3,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,10/18/2018,Science,4/3/2009
Ethel McKenzie,Female,4/29/2008,76,9,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,11/24/2001,Other,11/1/1995
Guido Beake,Male,10/12/2003,88,8,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,7/17/2018,Commerce,3/31/2002
Lanie Fletham,Female,4/27/2012,9,12,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/15/2011,Commerce,2/4/1991
Adolpho Malec,Male,9/6/1944,117,2,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,7/20/2018,Other,2/20/2013
Reese Becarra,Male,10/13/1931,56,7,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,3/3/2012,Other,1/17/2001
Tye Naper,Polygender,8/21/1924,111,7,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,6/16/2018,Science,8/31/2018
Hallsy Lalevee,Male,8/27/1960,21,5,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,11/18/2000,Arts,5/28/2007
Dimitri Girardey,Male,3/13/1914,4,8,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/10/2004,Arts,3/5/2003
Robinette Martin,Female,10/15/2009,84,10,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/18/2018,Commerce,1/14/1996
Kingsly Segeswoeth,Genderfluid,10/14/1931,80,5,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,6/24/1997,Arts,1/8/2005
Perceval Coste,Male,4/19/2007,80,5,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/16/1992,Science,7/13/2000
Ferdy Sneller,Male,11/22/2016,72,2,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/3/2005,Arts,2/10/2003
Wileen Close,Agender,1/4/1994,105,11,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,12/22/1997,Other,5/9/2017
Rupert Fontenot,Male,1/21/1984,77,6,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,8/2/2004,Commerce,12/6/2016
Pat Moran,Male,8/7/2012,27,11,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,7/24/2011,Other,1/17/1993
Savina Mullan,Female,2/13/1932,59,5,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,6/10/2008,Arts,12/27/2006
Flinn Wyndham,Agender,8/9/1913,72,5,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/8/2015,Other,12/1/1996
Mariele Bumpas,Female,11/4/1980,116,2,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,12/13/2002,Arts,11/20/1991
Herve Andress,Male,8/31/1925,58,0,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,11/3/2006,Commerce,12/16/2007
Cull Brocklebank,Male,12/21/1997,108,2,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/20/2014,Arts,12/11/2010
Gianni Emanulsson,Male,6/8/1927,36,3,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/20/1990,Other,11/16/1991
Cyndie Wilhelmy,Female,2/11/1978,19,0,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/6/2008,Science,6/14/2005
Vivien Duddin,Female,5/5/1928,59,9,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,10/25/2019,Science,5/2/2022
Godart Wordley,Male,5/25/1921,53,1,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/30/2006,Other,1/29/2023
Puff Hovey,Male,5/16/1943,8,1,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/6/2005,Science,8/11/2002
Alica Facher,Female,3/30/1948,0,8,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,11/7/1996,Science,7/12/2020
Gracie Quaife,Female,2/7/2002,28,1,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,11/17/2014,Science,7/21/2003
Frayda Winckworth,Female,7/11/1957,120,2,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,6/1/2005,Arts,10/8/1994
Rosella Skeats,Female,5/22/1926,95,2,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/23/2003,Arts,8/3/2012
Jedediah De Leek,Male,1/25/1983,45,6,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,1/9/2005,Arts,3/2/2001
Milissent Rickerby,Female,1/21/2022,77,8,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,2/12/1999,Other,9/16/2007
Ode Brilon,Male,8/7/1900,24,5,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,12/21/2020,Other,2/23/2011
Ardyth Fredi,Female,9/24/2013,98,2,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/5/2007,Commerce,2/4/1993
Danyette Madgwick,Female,8/10/1991,3,7,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,4/14/2001,Arts,8/8/1991
Willie Martina,Male,9/14/1952,19,10,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,12/25/2000,Science,10/26/2006
Cletis Dary,Male,11/20/1964,20,3,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/19/1997,Other,12/22/1996
Stephen Pawlata,Male,11/18/2008,1,2,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,5/14/2019,Other,1/20/1991
Lorens Aguirre,Male,10/13/2018,27,6,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,10/27/1994,Other,11/2/2016
Elvina Mercey,Female,2/18/1902,11,6,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,8/24/2002,Other,7/28/1998
Nikolos Hulland,Male,3/9/1908,23,11,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,11/19/1996,Science,11/27/2016
Adam Tull,Genderqueer,12/16/1965,77,9,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,8/19/1996,Commerce,6/23/2007
Sashenka Greensted,Female,1/11/1901,71,0,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,3/16/2022,Commerce,10/29/2022
Tansy Blackaller,Female,11/21/2010,30,5,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,9/28/2008,Arts,11/21/1994
Melvyn Mundle,Male,1/29/1988,30,9,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/12/2001,Science,10/8/2013
Kat Palke,Female,8/1/1927,55,8,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,5/23/2018,Commerce,3/6/2010
Kessiah Mullally,Female,9/15/2019,80,8,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/25/2019,Other,3/15/2017
Neale Vasyutochkin,Male,5/19/1942,108,4,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/7/2022,Commerce,12/21/2001
Anton Brunstan,Male,4/9/1912,94,8,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,7/8/1994,Science,5/19/1992
Sasha McCandie,Female,2/9/2009,2,4,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,2/22/2019,Commerce,12/18/1997
Tammie Cutmare,Male,2/9/1932,110,7,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,3/3/1996,Arts,8/26/2007
Laureen Hatto,Bigender,12/1/2015,26,5,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,3/3/2009,Arts,7/29/2010
Sutherland Shermar,Male,10/9/1965,111,12,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,4/10/2002,Commerce,9/22/1992
Anna-diane Osmond,Female,2/5/1996,4,10,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,12/28/2017,Other,7/2/2001
Shay Gilhouley,Male,2/28/2015,29,11,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,4/22/2003,Commerce,2/11/2000
Cammie Cosin,Female,11/21/1962,68,10,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,11/8/2014,Science,1/16/1997
Hadlee Hulks,Male,2/25/1925,32,10,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,9/26/2019,Science,10/23/2001
Hewet Baugham,Male,3/13/1985,35,7,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,7/1/2000,Other,4/22/2022
Hulda Crates,Female,3/28/2002,18,7,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,11/27/1992,Science,1/16/1995
Denise Pirson,Female,6/4/1962,89,3,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,11/21/2006,Arts,6/29/2005
Sandy Cody,Female,9/20/1979,30,9,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,8/25/2019,Arts,8/5/2023
Cris Tarte,Female,8/29/1900,18,6,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,8/9/1996,Arts,12/31/2010
Daryl Boman,Female,9/2/1928,114,11,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,8/6/2018,Science,12/26/2019
Nichole Nanelli,Female,3/22/1900,80,9,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,4/29/1993,Commerce,9/15/2008
Estele Davydychev,Female,11/23/1941,68,4,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,10/12/2013,Commerce,1/1/2017
Ginger Pourveer,Male,3/3/1962,54,3,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,11/23/2002,Commerce,4/2/2020
Gilli Grennan,Polygender,4/8/1983,85,8,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,7/1/1995,Science,1/18/1991
Trina Wield,Female,8/28/1984,19,4,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,4/20/2012,Other,4/10/2017
Ralf Illesley,Male,8/14/1912,4,12,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,4/30/1993,Other,9/14/2003
Aurea Durie,Female,8/27/1900,113,7,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/22/2010,Commerce,9/7/2019
Kiah Liebrecht,Female,12/26/1967,5,0,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/18/2014,Commerce,8/19/2005
Jarvis Ballsdon,Male,5/2/2015,52,1,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,8/20/2008,Science,9/1/2015
Goddart Sherrock,Male,8/27/1907,108,1,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,3/26/2001,Commerce,3/30/2021
Sol Benettini,Bigender,11/7/1961,47,5,Other,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,3/15/1994,Science,7/16/2006
Belva Dobrovsky,Genderfluid,9/21/1961,85,3,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,12/10/2022,Science,6/27/2004
Lizzy Lapslie,Female,11/12/1939,25,0,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,7/4/2013,Arts,12/30/2004
Elita Giovannazzi,Female,12/25/1991,90,2,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,5/22/2011,Commerce,11/14/2004
Dillie Crayker,Male,8/20/1941,23,11,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,7/10/2004,Commerce,9/25/2019
Rockwell Egel,Male,2/15/1929,115,0,SC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,5/24/2007,Science,11/5/1996
Ilario Kleinhausen,Male,7/8/1934,29,3,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,4/2/2018,Commerce,1/7/2008
Carmelita Gavan,Female,8/2/1906,56,10,OBC,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',true,6/20/2007,Commerce,10/20/2001
Sandor Phelipeaux,Male,10/21/1944,23,5,ST,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,1/24/1997,Arts,9/19/2018
Auria Llywarch,Female,1/15/1940,120,0,General,Syntax error in formula 'if Standard < 10 && DateLeftSchool !== null then 'true'',Syntax error in formula 'if DropoutStatus = true ',false,7/24/2023,Other,2/21/2001
